bulb_id	model	status	brightness	color	color_temperature	energy_consumption	last_on_time	last_off_time	location
BULB1	ModelB	off	83	#5FF603	3500	3.15	2023-10-09 12:52:04	2023-10-05 12:52:04	living room
BULB2	ModelA	off	64	#095E79	3500	1.64	2023-10-01 12:52:04	2023-10-04 12:52:04	kitchen
BULB3	ModelA	on	14	#E5765C	3500	4.2	2023-10-09 12:52:04	2023-09-29 12:52:04	garage
BULB4	ModelC	off	2	#0ABB11	3000	4.73	2023-09-19 12:52:04	2023-09-21 12:52:04	bedroom
BULB5	ModelC	on	49	#409CED	5000	3.58	2023-09-25 12:52:04	2023-10-15 12:52:04	garage
BULB6	ModelB	off	49	#9802BD	3500	2.01	2023-10-12 12:52:04	2023-09-21 12:52:04	kitchen
BULB7	ModelB	on	63	#C6C53D	3500	2.73	2023-09-24 12:52:04	2023-10-12 12:52:04	garage
BULB8	ModelC	off	29	#A40243	4000	3.46	2023-10-03 12:52:04	2023-09-27 12:52:04	kitchen
BULB9	ModelC	off	17	#A82700	3500	4.95	2023-10-11 12:52:04	2023-09-27 12:52:04	living room
BULB10	ModelA	on	3	#E80390	5000	0.03	2023-09-25 12:52:04	2023-09-19 12:52:04	kitchen
BULB11	ModelB	off	30	#9A36C1	2700	3.66	2023-09-27 12:52:04	2023-10-11 12:52:04	bathroom
BULB12	ModelC	on	12	#1D94DD	5000	0.39	2023-10-19 12:52:04	2023-09-19 12:52:04	bedroom
BULB13	ModelA	off	38	#41C166	3500	0.79	2023-10-12 12:52:04	2023-09-30 12:52:04	bedroom
BULB14	ModelA	on	44	#6791CB	4000	3.65	2023-10-01 12:52:04	2023-09-30 12:52:04	kitchen
BULB15	ModelB	on	84	#109C5C	3000	4.98	2023-09-29 12:52:04	2023-10-15 12:52:04	garage
BULB16	ModelC	on	14	#8CCD93	2700	2.61	2023-09-30 12:52:04	2023-10-18 12:52:04	bathroom
BULB17	ModelC	off	30	#6CC674	3000	1.55	2023-09-30 12:52:04	2023-10-10 12:52:04	living room
BULB18	ModelC	on	21	#CAF128	5000	2.46	2023-10-14 12:52:04	2023-10-04 12:52:04	bedroom
BULB19	ModelA	on	37	#11CE5A	2700	2.83	2023-10-12 12:52:04	2023-09-21 12:52:04	living room
BULB20	ModelB	on	80	#B3B446	5000	4.26	2023-10-12 12:52:04	2023-10-06 12:52:04	kitchen
BULB21	ModelA	on	11	#7A2340	2700	2.45	2023-09-23 12:52:04	2023-09-22 12:52:04	kitchen
BULB22	ModelA	off	26	#2B870E	4000	4.74	2023-09-29 12:52:04	2023-10-04 12:52:04	garage
BULB23	ModelB	off	25	#271EEF	3500	2.59	2023-09-19 12:52:04	2023-10-01 12:52:04	bedroom
BULB24	ModelC	off	96	#608319	5000	3.78	2023-10-19 12:52:04	2023-09-20 12:52:04	kitchen
BULB25	ModelC	on	81	#3057BF	2700	4.68	2023-09-27 12:52:04	2023-10-11 12:52:04	garage
BULB26	ModelA	on	98	#679E42	2700	0.31	2023-09-20 12:52:04	2023-10-19 12:52:04	bathroom
BULB27	ModelB	off	0	#31DB85	3500	3.96	2023-09-23 12:52:04	2023-09-28 12:52:04	kitchen
BULB28	ModelA	on	35	#1B804A	3500	1.87	2023-09-28 12:52:04	2023-09-19 12:52:04	living room
BULB29	ModelB	on	29	#E64C2D	3500	4.63	2023-10-17 12:52:04	2023-10-19 12:52:04	living room
BULB30	ModelC	on	19	#C87A38	2700	2.35	2023-09-27 12:52:04	2023-10-19 12:52:04	bedroom
BULB31	ModelC	on	22	#26D3E6	3500	1.09	2023-09-28 12:52:04	2023-10-12 12:52:04	bathroom
